left	right	left_type	right_type
anything	triple_bond	anything__symbol	bond__symbol
anything	quadruple_bond	anything__symbol	bond__symbol
anything	aromatic_bond	anything__symbol	bond__symbol
anything	no_bond	anything__symbol	bond__symbol
anything	bm_ibi	anything__symbol	modifier__symbol
anything	bm_iri	anything__symbol	modifier__symbol
anything	bm_tbi	anything__symbol	modifier__symbol
anything	bm_tri	anything__symbol	modifier__symbol
anything	bm_ibe_2	anything__symbol	modifier__symbol
anything	bm_ire_2	anything__symbol	modifier__symbol
anything	bm_iri_3	anything__symbol	modifier__symbol
anything	bm_ire_4	anything__symbol	modifier__symbol
anything	bm_tbe_2	anything__symbol	modifier__symbol
anything	bm_tre_2	anything__symbol	modifier__symbol
anything	bm_tre_4	anything__symbol	modifier__symbol
anything	bm_tri_3	anything__symbol	modifier__symbol
anything	ct	anything__symbol	cis_trans__symbol
bracket	atom_oar	bracket__symbol	atom__symbol
bracket	atom_oal	bracket__symbol	atom__symbol
bracket	atom_bar	bracket__symbol	atom__symbol
bracket	atom_bal	bracket__symbol	atom__symbol
bracket	atom_oal_2	bracket__symbol	atom__symbol
bracket	atom_bar_2	bracket__symbol	atom__symbol
bracket	atom_bal_2	bracket__symbol	atom__symbol
bracket	anything	bracket__symbol	anything__symbol
bracket	single_bond	bracket__symbol	bond__symbol
bracket	double_bond	bracket__symbol	bond__symbol
bracket	triple_bond	bracket__symbol	bond__symbol
bracket	quadruple_bond	bracket__symbol	bond__symbol
bracket	aromatic_bond	bracket__symbol	bond__symbol
bracket	no_bond	bracket__symbol	bond__symbol
bracket	bm_ibi	bracket__symbol	modifier__symbol
bracket	bm_iri	bracket__symbol	modifier__symbol
bracket	bm_tbi	bracket__symbol	modifier__symbol
bracket	bm_tri	bracket__symbol	modifier__symbol
bracket	bm_ibe_2	bracket__symbol	modifier__symbol
bracket	bm_ire_2	bracket__symbol	modifier__symbol
bracket	bm_iri_3	bracket__symbol	modifier__symbol
bracket	bm_ire_4	bracket__symbol	modifier__symbol
bracket	bm_tbe_2	bracket__symbol	modifier__symbol
bracket	bm_tre_2	bracket__symbol	modifier__symbol
bracket	bm_tre_4	bracket__symbol	modifier__symbol
bracket	bm_tri_3	bracket__symbol	modifier__symbol
bracket	ct	bracket__symbol	cis_trans__symbol
single_bond	atom_oar	bond__symbol	atom__symbol
single_bond	atom_oal	bond__symbol	atom__symbol
single_bond	atom_oal_2	bond__symbol	atom__symbol
single_bond	anything	bond__symbol	anything__symbol
single_bond	bracket	bond__symbol	bracket__symbol
double_bond	atom_oar	bond__symbol	atom__symbol
double_bond	atom_oal	bond__symbol	atom__symbol
double_bond	atom_oal_2	bond__symbol	atom__symbol
double_bond	anything	bond__symbol	anything__symbol
double_bond	bracket	bond__symbol	bracket__symbol
triple_bond	atom_oar	bond__symbol	atom__symbol
triple_bond	atom_oal	bond__symbol	atom__symbol
triple_bond	atom_oal_2	bond__symbol	atom__symbol
triple_bond	anything	bond__symbol	anything__symbol
triple_bond	bracket	bond__symbol	bracket__symbol
quadruple_bond	atom_oar	bond__symbol	atom__symbol
quadruple_bond	atom_oal	bond__symbol	atom__symbol
quadruple_bond	atom_oal_2	bond__symbol	atom__symbol
quadruple_bond	anything	bond__symbol	anything__symbol
quadruple_bond	bracket	bond__symbol	bracket__symbol
aromatic_bond	atom_oar	bond__symbol	atom__symbol
aromatic_bond	anything	bond__symbol	anything__symbol
aromatic_bond	bracket	bond__symbol	bracket__symbol
no_bond	atom_oar	bond__symbol	atom__symbol
no_bond	atom_oal	bond__symbol	atom__symbol
no_bond	atom_oal_2	bond__symbol	atom__symbol
no_bond	anything	bond__symbol	anything__symbol
no_bond	bracket	bond__symbol	bracket__symbol
bm_ibi	atom_oar	modifier__symbol	atom__symbol
bm_ibi	atom_oal	modifier__symbol	atom__symbol
bm_ibi	atom_oal_2	modifier__symbol	atom__symbol
bm_ibi	anything	modifier__symbol	anything__symbol
bm_ibi	bracket	modifier__symbol	bracket__symbol
bm_ibi	bm_ibi	modifier__symbol	modifier__symbol
bm_ibi	bm_iri	modifier__symbol	modifier__symbol
bm_ibi	bm_tri	modifier__symbol	modifier__symbol
bm_ibi	bm_ibe_2	modifier__symbol	modifier__symbol
bm_ibi	bm_ire_2	modifier__symbol	modifier__symbol
bm_ibi	bm_iri_3	modifier__symbol	modifier__symbol
bm_ibi	bm_ire_4	modifier__symbol	modifier__symbol
bm_ibi	bm_tre_2	modifier__symbol	modifier__symbol
bm_ibi	bm_tre_4	modifier__symbol	modifier__symbol
bm_ibi	bm_tri_3	modifier__symbol	modifier__symbol
bm_ibi	ct	modifier__symbol	cis_trans__symbol
bm_iri	atom_oar	modifier__symbol	atom__symbol
bm_iri	atom_oal	modifier__symbol	atom__symbol
bm_iri	atom_oal_2	modifier__symbol	atom__symbol
bm_iri	anything	modifier__symbol	anything__symbol
bm_iri	bracket	modifier__symbol	bracket__symbol
bm_iri	bm_ibi	modifier__symbol	modifier__symbol
bm_iri	bm_iri	modifier__symbol	modifier__symbol
bm_iri	bm_tbi	modifier__symbol	modifier__symbol
bm_iri	bm_tri	modifier__symbol	modifier__symbol
bm_iri	bm_ibe_2	modifier__symbol	modifier__symbol
bm_iri	bm_ire_2	modifier__symbol	modifier__symbol
bm_iri	bm_iri_3	modifier__symbol	modifier__symbol
bm_iri	bm_ire_4	modifier__symbol	modifier__symbol
bm_iri	bm_tbe_2	modifier__symbol	modifier__symbol
bm_iri	bm_tre_2	modifier__symbol	modifier__symbol
bm_iri	bm_tre_4	modifier__symbol	modifier__symbol
bm_iri	bm_tri_3	modifier__symbol	modifier__symbol
