"left_charClass"	"right_charClass"	"example_pair"
"r_bm_tri"	"w_atom_oar"	"0b"
"w_bm_tbi"	"w_atom_oar"	")b"
"w_atom_oar"	"w_atom_oal"	"bB"
"w_atom_oar"	"s_atom_oal"	"bB"
"w_atom_oal"	"w_atom_oal"	"BB"
"w_atom_oal"	"s_atom_oal"	"BB"
"e_atom_oal"	"w_atom_oal"	"lB"
"w_anything"	"w_atom_oal"	"*B"
"w_anything"	"s_atom_oal"	"*B"
"w_single_bond"	"w_atom_oal"	"-B"
"w_single_bond"	"s_atom_oal"	"-B"
"e_bm_ibe"	"w_atom_oal"	"-B"
"e_bm_ire"	"w_atom_oal"	"0B"
"r_bm_ire"	"w_atom_oal"	"0B"
"e_bm_tbe"	"w_atom_oal"	"-B"
"e_bm_tre"	"w_atom_oal"	"0B"
"r_bm_tre"	"w_atom_oal"	"0B"
"w_double_bond"	"w_atom_oal"	"=B"
"w_double_bond"	"s_atom_oal"	"=B"
"w_triple_bond"	"w_atom_oal"	"#B"
"w_triple_bond"	"s_atom_oal"	"#B"
"w_quadruple_bond"	"w_atom_oal"	"$B"
"w_quadruple_bond"	"s_atom_oal"	"$B"
"w_aromatic_bond"	"w_atom_oal"	":B"
"w_aromatic_bond"	"s_atom_oal"	":B"
"w_no_bond"	"w_atom_oal"	".B"
"w_no_bond"	"s_atom_oal"	".B"
"w_bm_ibi"	"w_atom_oal"	"(B"
"w_bm_ibi"	"s_atom_oal"	"(B"
"w_bm_iri"	"w_atom_oal"	"0B"
"w_bm_iri"	"s_atom_oal"	"0B"
"w_bm_tri"	"w_atom_oal"	"0B"
"w_bm_tri"	"s_atom_oal"	"0B"
"r_bm_iri"	"w_atom_oal"	"0B"
"r_bm_tri"	"w_atom_oal"	"0B"
"w_bm_tbi"	"w_atom_oal"	")B"
"w_bm_tbi"	"s_atom_oal"	")B"
"w_atom_oar"	"w_anything"	"b*"
"w_atom_oal"	"w_anything"	"B*"
"e_atom_oal"	"w_anything"	"l*"
"w_atom_oar"	"w_single_bond"	"b-"
"w_atom_oar"	"s_bm_ibe"	"b("
"w_atom_oar"	"s_bm_ire"	"b-"
"w_atom_oar"	"s_bm_ire_4"	"b-"
"w_atom_oar"	"s_bm_tbe"	"b)"
"w_atom_oar"	"s_bm_tre"	"b-"
"w_atom_oar"	"s_bm_tre_4"	"b-"
"w_atom_oal"	"w_single_bond"	"B-"
"w_atom_oal"	"s_bm_ibe"	"B("
"w_atom_oal"	"s_bm_ire"	"B-"
"w_atom_oal"	"s_bm_ire_4"	"B-"
"w_atom_oal"	"s_bm_tbe"	"B)"
"w_atom_oal"	"s_bm_tre"	"B-"
"w_atom_oal"	"s_bm_tre_4"	"B-"
"e_atom_oal"	"w_single_bond"	"l-"
"w_atom_oar"	"w_double_bond"	"b="
"w_atom_oal"	"w_double_bond"	"B="
"e_atom_oal"	"w_double_bond"	"l="
"w_atom_oar"	"w_triple_bond"	"b#"
"w_atom_oal"	"w_triple_bond"	"B#"
"e_atom_oal"	"w_triple_bond"	"l#"
"w_atom_oar"	"w_quadruple_bond"	"b$"
"w_atom_oal"	"w_quadruple_bond"	"B$"
"e_atom_oal"	"w_quadruple_bond"	"l$"
"w_atom_oar"	"w_aromatic_bond"	"b:"
"w_atom_oal"	"w_aromatic_bond"	"B:"
"e_atom_oal"	"w_aromatic_bond"	"l:"
"w_atom_oar"	"w_no_bond"	"b."
"w_atom_oal"	"w_no_bond"	"B."
"e_atom_oal"	"w_no_bond"	"l."
"w_atom_oar"	"w_bm_ibi"	"b("
"w_atom_oal"	"w_bm_ibi"	"B("
"e_atom_oal"	"w_bm_ibi"	"l("
"w_atom_oar"	"w_bm_iri"	"b0"
"w_atom_oar"	"w_bm_tri"	"b0"
"w_atom_oar"	"s_bm_iri"	"b%"
"w_atom_oar"	"s_bm_tri"	"b%"
"w_atom_oal"	"w_bm_iri"	"B0"
"w_atom_oal"	"w_bm_tri"	"B0"
