left	right	classes	next_symb
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	?1
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	?11
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	??11
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	11
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	111
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	?AA1
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	?AA11
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	A1
??11	??	bm_ire_4 - bm_ibe_2, bm_ire_4 - bm_tbe_2, bm_tre_4 - bm_ibe_2, bm_tre_4 - bm_tbe_2	?111
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	a
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	A
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	Aa
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	aa
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	?
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	1
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	??
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	?1
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	?11
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	??11
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	11
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	111
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	?AA1
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	?AA11
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	A1
??11	??11	bm_ire_4 - bm_ire_4, bm_ire_4 - bm_tre_4, bm_tre_4 - bm_ire_4, bm_tre_4 - bm_tre_4	?111
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	a
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	A
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	Aa
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	aa
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	?
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	1
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	??
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	?1
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	?11
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	??11
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	11
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	111
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	?AA1
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	?AA11
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	A1
??11	A	bm_ire_4 - atom_oal, bm_tre_4 - atom_oal	?111
??11	Aa	bm_ire_4 - atom_oal_2, bm_tre_4 - atom_oal_2	a
