left_charClass	right_charClass	example_pair	isOK
e_bm_tre	w_atom_oar	0b	y
r_bm_tre	w_atom_oar	0b	y
w_double_bond	w_atom_oar	#»Ãﬂ?	y
w_triple_bond	w_atom_oar	#b	y
w_quadruple_bond	w_atom_oar	$b	y
w_aromatic_bond	w_atom_oar	:b	y
w_no_bond	w_atom_oar	.b	y
w_bm_ibi	w_atom_oar	(b	y
w_bm_iri	w_atom_oar	0b	y
w_bm_tri	w_atom_oar	0b	y
r_bm_iri	w_atom_oar	0b	y
r_bm_tri	w_atom_oar	0b	y
w_bm_tbi	w_atom_oar	)b	y
w_atom_oar	w_atom_oal	bB	y
w_atom_oar	s_atom_oal	bB	y
w_atom_oal	w_atom_oal	BB	y
w_atom_oal	s_atom_oal	BB	y
e_atom_oal	w_atom_oal	lB	y
w_anything	w_atom_oal	*B	y
w_anything	s_atom_oal	*B	y
w_single_bond	w_atom_oal	#»Ãﬂ?	y
w_single_bond	s_atom_oal	#»Ãﬂ?	y
e_bm_ibe	w_atom_oal	#»Ãﬂ?	y
e_bm_ire	w_atom_oal	0B	y
r_bm_ire	w_atom_oal	0B	y
e_bm_tbe	w_atom_oal	#»Ãﬂ?	y
e_bm_tre	w_atom_oal	0B	y
r_bm_tre	w_atom_oal	0B	y
w_double_bond	w_atom_oal	#»Ãﬂ?	y
w_double_bond	s_atom_oal	#»Ãﬂ?	y
w_triple_bond	w_atom_oal	#B	y
w_triple_bond	s_atom_oal	#B	y
w_quadruple_bond	w_atom_oal	$B	y
w_quadruple_bond	s_atom_oal	$B	y
w_no_bond	w_atom_oal	.B	y
w_no_bond	s_atom_oal	.B	y
w_bm_ibi	w_atom_oal	(B	y
w_bm_ibi	s_atom_oal	(B	y
w_bm_iri	w_atom_oal	0B	y
w_bm_iri	s_atom_oal	0B	y
w_bm_tri	w_atom_oal	0B	y
w_bm_tri	s_atom_oal	0B	y
r_bm_iri	w_atom_oal	0B	y
r_bm_tri	w_atom_oal	0B	y
w_bm_tbi	w_atom_oal	)B	y
w_bm_tbi	s_atom_oal	)B	y
w_atom_oar	w_anything	b*	y
w_atom_oal	w_anything	B*	y
e_atom_oal	w_anything	l*	y
w_atom_oar	w_single_bond	b-	y
w_atom_oar	s_bm_ibe	b(	y
w_atom_oar	s_bm_ire	b-	y
w_atom_oar	s_bm_ire_4	b-	y
w_atom_oar	s_bm_tbe	b)	y
w_atom_oar	s_bm_tre	b-	y
w_atom_oar	s_bm_tre_4	b-	y
w_atom_oal	w_single_bond	B-	y
w_atom_oal	s_bm_ibe	B(	y
w_atom_oal	s_bm_ire	B-	y
w_atom_oal	s_bm_ire_4	B-	y
w_atom_oal	s_bm_tbe	B)	y
w_atom_oal	s_bm_tre	B-	y
w_atom_oal	s_bm_tre_4	B-	y
e_atom_oal	w_single_bond	l-	y
w_atom_oar	w_double_bond	b=	y
w_atom_oal	w_double_bond	B=	y
e_atom_oal	w_double_bond	l=	y
w_atom_oar	w_triple_bond	b#	y
w_atom_oal	w_triple_bond	B#	y
e_atom_oal	w_triple_bond	l#	y
w_atom_oar	w_quadruple_bond	b$	y
w_atom_oal	w_quadruple_bond	B$	y
e_atom_oal	w_quadruple_bond	l$	y
w_atom_oar	w_aromatic_bond	b:	y
w_atom_oal	w_aromatic_bond	B:	y
e_atom_oal	w_aromatic_bond	l:	y
w_atom_oar	w_no_bond	b.	y
w_atom_oal	w_no_bond	B.	y
e_atom_oal	w_no_bond	l.	y
w_atom_oar	w_bm_ibi	b(	y
w_atom_oal	w_bm_ibi	B(	y
e_atom_oal	w_bm_ibi	l(	y
w_atom_oar	w_bm_iri	b0	y
w_atom_oar	w_bm_tri	b0	y
w_atom_oar	s_bm_iri	b%	y
w_atom_oar	s_bm_tri	b%	y
w_atom_oal	w_bm_iri	B0	y
w_atom_oal	w_bm_tri	B0	y
w_atom_oal	s_bm_iri	B%	y
w_atom_oal	s_bm_tri	B%	y
e_atom_oal	w_bm_iri	l0	y
e_atom_oal	w_bm_tri	l0	y
w_atom_oar	w_bm_tbi	b)	y
w_atom_oal	w_bm_tbi	B)	y
e_atom_oal	w_bm_tbi	l)	y
w_single_bond	w_anything	-*	y
e_bm_ibe	w_anything	-*	y
e_bm_ire	w_anything	0*	y
r_bm_ire	w_anything	0*	y
e_bm_tbe	w_anything	-*	y
e_bm_tre	w_anything	0*	y
r_bm_tre	w_anything	0*	y
w_double_bond	w_anything	=*	y
w_triple_bond	w_anything	#*	y
w_quadruple_bond	w_anything	$*	y
w_aromatic_bond	w_anything	:*	y
w_no_bond	w_anything	.*	y
w_bm_ibi	w_anything	(*	y
w_bm_iri	w_anything	0*	y
w_bm_tri	w_anything	0*	y
r_bm_iri	w_anything	0*	y
r_bm_tri	w_anything	0*	y
w_bm_tbi	w_anything	)*	y
w_anything	w_single_bond	*-	y
w_anything	s_bm_ibe	*(	y
w_anything	s_bm_ire	*-	y
w_anything	s_bm_ire_4	*-	y
w_anything	s_bm_tbe	*)	y
w_anything	s_bm_tre	*-	y
w_anything	s_bm_tre_4	*-	y
w_bm_ibi	s_bm_ibe	((	y
w_bm_ibi	s_bm_ire	(-	y
w_bm_ibi	s_bm_ire_4	(-	y
w_bm_ibi	s_bm_tre	(-	y
w_bm_ibi	s_bm_tre_4	(-	y
w_bm_iri	s_bm_ibe	0(	y
w_bm_iri	s_bm_ire	0-	y
w_bm_iri	s_bm_ire_4	0-	y
w_bm_iri	s_bm_tbe	0)	y
w_bm_iri	s_bm_tre	0-	y
w_bm_iri	s_bm_tre_4	0-	y
w_bm_tri	s_bm_ibe	0(	y
w_bm_tri	s_bm_ire	0-	y
w_bm_tri	s_bm_ire_4	0-	y
w_bm_tri	s_bm_tbe	0)	y
w_bm_tri	s_bm_tre	0-	y
w_bm_tri	s_bm_tre_4	0-	y
w_bm_tbi	s_bm_ibe	)(	y
w_bm_tbi	s_bm_ire	)-	y
w_bm_tbi	s_bm_ire_4	)-	y
w_bm_tbi	s_bm_tbe	))	y
w_bm_tbi	s_bm_tre	)-	y
w_bm_tbi	s_bm_tre_4	)-	y
w_anything	w_double_bond	*=	y
w_anything	w_triple_bond	*#	y
w_anything	w_quadruple_bond	*$	y
w_anything	w_aromatic_bond	*:	y
w_anything	w_no_bond	*.	y
w_anything	w_bm_ibi	*(	y
e_bm_ibe	w_bm_ibi	-(	y
e_bm_ire	w_bm_ibi	0(	y
r_bm_ire	w_bm_ibi	0(	y
e_bm_tbe	w_bm_ibi	-(	y
e_bm_tre	w_bm_ibi	0(	y
r_bm_tre	w_bm_ibi	0(	y
w_bm_ibi	w_bm_ibi	((	y
w_bm_iri	w_bm_ibi	0(	y
w_bm_tri	w_bm_ibi	0(	y
r_bm_iri	w_bm_ibi	0(	y
r_bm_tri	w_bm_ibi	0(	y
w_bm_tbi	w_bm_ibi	)(	y
w_anything	w_bm_iri	*0	y
w_anything	w_bm_tri	*0	y
w_anything	s_bm_iri	*%	y
w_anything	s_bm_tri	*%	y
e_bm_ire	w_bm_tri	0	y
r_bm_ire	w_bm_iri	0	y
r_bm_ire	w_bm_tri	0	y
e_bm_tbe	w_bm_iri	0	y
e_bm_tbe	w_bm_tri	0	y
e_bm_tre	w_bm_iri	0	y
e_bm_tre	w_bm_tri	0	y
r_bm_tre	w_bm_iri	0	y
r_bm_tre	w_bm_tri	0	y
w_bm_iri	w_bm_iri	0	y
w_bm_iri	w_bm_tri	0	y
w_bm_iri	s_bm_iri	0%	y
w_bm_iri	s_bm_tri	0%	y
w_bm_tri	w_bm_iri	0	y
w_bm_tri	w_bm_tri	0	y
w_bm_tri	s_bm_iri	0%	y
w_bm_tri	s_bm_tri	0%	y
r_bm_iri	w_bm_iri	0	y
r_bm_iri	w_bm_tri	0	y
r_bm_tri	w_bm_iri	0	y
r_bm_tri	w_bm_tri	0	y
w_anything	w_bm_tbi	*)	y
e_bm_ire	w_bm_tbi	0)	y
r_bm_ire	w_bm_tbi	0)	y
e_bm_tbe	w_bm_tbi	-)	q
e_bm_tre	w_bm_tbi	0)	y
r_bm_tre	w_bm_tbi	0)	y
w_bm_iri	w_bm_tbi	0)	y
w_bm_tri	w_bm_tbi	0)	y
r_bm_iri	w_bm_tbi	0)	y
r_bm_tri	w_bm_tbi	0)	y
w_bm_tbi	w_bm_tbi	))	y
w_anything	w_anything	**	y
s_isotope	r_isotope	0	y
s_chiral_m	m_chiral	@A	y
s_hydro	e_hydro	H0	y
s_charge	e_charge	--	y
s_charge_m	r_charge	0	y
s_class	r_class	:0	y
