symbol_id	symbols
650	@AL1
651	@AL2
652	@OH1
663	@OH2
674	@OH3
676	@OH4
677	@OH5
678	@OH6
679	@OH7
680	@OH8
681	@OH9
682	@SP1
683	@SP2
684	@SP3
685	@TB1
696	@TB2
698	@TB3
699	@TB4
700	@TB5
701	@TB6
702	@TB7
703	@TB8
704	@TB9
705	@TH1
706	@TH2
708	:000
709	:001
710	:002
711	:003
712	:004
713	:005
714	:006
715	:007
716	:008
717	:009
718	:010
719	:011
720	:012
721	:013
722	:014
723	:015
724	:016
725	:017
726	:018
727	:019
728	:020
729	:021
730	:022
731	:023
732	:024
733	:025
734	:026
735	:027
736	:028
737	:029
738	:030
739	:031
740	:032
741	:033
742	:034
743	:035
744	:036
745	:037
746	:038
747	:039
748	:040
749	:041
750	:042
751	:043
752	:044
753	:045
754	:046
755	:047
756	:048
757	:049
758	:050
759	:051
760	:052
761	:053
762	:054
763	:055
764	:056
765	:057
766	:058
767	:059
768	:060
769	:061
770	:062
771	:063
772	:064
773	:065
774	:066
775	:067
776	:068
777	:069
778	:070
779	:071
780	:072
781	:073
782	:074
783	:075
784	:076
785	:077
786	:078
787	:079
788	:080
789	:081
790	:082
791	:083
792	:084
793	:085
794	:086
795	:087
796	:088
797	:089
798	:090
799	:091
800	:092
801	:093
802	:094
803	:095
804	:096
805	:097
806	:098
807	:099
809	:100
810	:101
811	:102
812	:103
813	:104
814	:105
815	:106
816	:107
817	:108
818	:109
819	:110
820	:111
821	:112
822	:113
823	:114
824	:115
825	:116
826	:117
827	:118
828	:119
829	:120
830	:121
831	:122
832	:123
833	:124
834	:125
835	:126
836	:127
837	:128
838	:129
839	:130
840	:131
841	:132
842	:133
843	:134
844	:135
845	:136
846	:137
847	:138
848	:139
849	:140
850	:141
851	:142
852	:143
853	:144
854	:145
855	:146
856	:147
857	:148
858	:149
859	:150
860	:151
861	:152
862	:153
863	:154
864	:155
865	:156
866	:157
867	:158
868	:159
869	:160
870	:161
871	:162
872	:163
873	:164
874	:165
875	:166
876	:167
877	:168
878	:169
879	:170
880	:171
881	:172
882	:173
883	:174
884	:175
885	:176
886	:177
887	:178
888	:179
889	:180
890	:181
891	:182
892	:183
893	:184
894	:185
895	:186
896	:187
897	:188
898	:189
899	:190
900	:191
901	:192
902	:193
903	:194
904	:195
905	:196
906	:197
907	:198
908	:199
910	:200
911	:201
912	:202
913	:203
914	:204
915	:205
916	:206
917	:207
918	:208
919	:209
920	:210
921	:211
922	:212
923	:213
924	:214
925	:215
926	:216
927	:217
928	:218
929	:219
930	:220
931	:221
932	:222
933	:223
934	:224
935	:225
936	:226
937	:227
938	:228
939	:229
940	:230
941	:231
942	:232
943	:233
944	:234
945	:235
946	:236
947	:237
948	:238
949	:239
950	:240
951	:241
952	:242
953	:243
954	:244
955	:245
956	:246
957	:247
958	:248
959	:249
960	:250
961	:251
962	:252
963	:253
964	:254
965	:255
966	:256
967	:257
968	:258
969	:259
970	:260
971	:261
972	:262
973	:263
974	:264
975	:265
976	:266
977	:267
978	:268
979	:269
980	:270
981	:271
982	:272
983	:273
984	:274
985	:275
986	:276
987	:277
988	:278
989	:279
990	:280
991	:281
992	:282
993	:283
994	:284
995	:285
996	:286
997	:287
998	:288
999	:289
1000	:290
1001	:291
1002	:292
1003	:293
1004	:294
1005	:295
1006	:296
1007	:297
1008	:298
1009	:299
1011	:300
1012	:301
1013	:302
1014	:303
1015	:304
1016	:305
1017	:306
1018	:307
1019	:308
1020	:309
1021	:310
1022	:311
1023	:312
1024	:313
1025	:314
1026	:315
1027	:316
1028	:317
1029	:318
1030	:319
1031	:320
1032	:321
1033	:322
1034	:323
1035	:324
1036	:325
1037	:326
1038	:327
1039	:328
1040	:329
1041	:330
1042	:331
1043	:332
1044	:333
1045	:334
1046	:335
1047	:336
1048	:337
1049	:338
1050	:339
1051	:340
1052	:341
1053	:342
1054	:343
1055	:344
1056	:345
1057	:346
1058	:347
1059	:348
1060	:349
1061	:350
1062	:351
1063	:352
